Component	Cost (USD)	Link	Notes
PCB	21.24		See screenshot in README
Seeed Studio XIAO x2	19.69	https://www.aliexpress.us/item/3256808140543257.html	Free shipping; AliExpress
Keycaps	14.32	https://www.aliexpress.us/item/3256809092009723.html	Free shipping
Switches	26.26	https://www.aliexpress.us/item/3256806440445666.html	Alt: https://www.amazon.com/gp/product/B0FCYKV41M
Diodes	0.99	https://www.aliexpress.us/item/3256805857667344.html	Free shipping
Battery x2 (3.7V LiPo 250mAh JST-PH)	5.86	https://www.aliexpress.us/item/3256808925051634.html	One per half; JST-PH 2.0mm
3D printed parts	0.00	N/A	Shipped with another project
Resistors	3.60	https://www.aliexpress.us/item/3256806851785003.html	Three types, no shipping
Pins for MCU	2.06	https://www.aliexpress.us/item/2255800687544049.html	For the microcontroller
Total	94.02		
